"","title","year","length","budget","rating","votes","mpaa","genre"
"738","Abgefahren",2004,86,NA,4.5,93,"","Action"
"747","Ablaze",2001,97,NA,3.6,98,"R","Action"
"770","Above and Beyond",1952,122,NA,6.6,119,"","Action"
"773","Above the Law",1988,93,NA,5.2,3126,"","Action"
"779","Abraxas, Guardian of the Universe",1991,90,NA,3.3,190,"","Action"
"794","Absolon",2003,96,8000000,4.1,548,"R","Action"
"800","Absolute Force",1997,91,NA,6.2,9,"","Action"
"801","Absolute Giganten",1999,72,NA,7.6,660,"","Action"
"821","Abyss, The",1989,171,69500000,7.4,21987,"PG-13","Action"
"845","Accountant, The",1999,50,5000,6.3,19,"","Action"
"852","Ace Drummond",1936,255,NA,6.9,22,"","Action"
"860","Aces High",1976,114,NA,6.2,315,"","Action"
"863","Aces: Iron Eagle III",1992,98,NA,3.2,536,"","Action"
"883","Acquasanta Joe",1971,94,NA,4.8,15,"","Action"
"907","Act of Piracy",1988,101,NA,4.2,73,"","Action"
"910","Act of War",1998,94,NA,3.5,64,"","Action"
"920","Action Jackson",1988,96,NA,4.4,1743,"","Action"
"922","Action Nitsch-Journiac",1989,10,NA,5.7,6,"","Action"
"924","Action U.S.A.",1989,89,NA,5,21,"","Action"
"925","Action de corps exclu",1983,15,NA,8.7,6,"","Action"
"929","Action of the Tiger",1957,93,NA,4.9,65,"","Action"
"931","Active Stealth",1999,99,NA,3,146,"R","Action"
"938","Acts of Betrayal",1997,90,3000000,4.6,94,"","Action"
"1000","Adieu l'ami",1968,115,NA,6,169,"","Action"
"1029","Adrenalin: Fear the Rush",1996,88,NA,3.5,664,"R","Action"
"1030","Adrenaline",2000,97,NA,5.8,8,"","Action"
"1068","Adventures of Dollie, The",1908,12,0,5.1,34,"","Action"
"1072","Adventures of Ford Fairlane, The",1990,104,NA,5.2,4133,"","Action"
"1091","Adventures of Pluto Nash, The",2002,95,100000000,3.9,2543,"PG-13","Action"
"1097","Adventures of Rex and Rinty, The",1935,229,NA,4.6,5,"","Action"
"1098","Adventures of Robin Hood, The",1938,102,1900000,8.2,7359,"PG","Action"
"1103","Adventures of Smilin' Jack",1943,265,NA,8.2,18,"","Action"
"1123","Aelan",1989,105,NA,3.2,7,"","Action"
"1167","Afganistan - The last war bus (L'ultimo bus di guerra)",1989,90,NA,2.9,21,"","Action"
"1197","Afrika",2002,112,NA,5,43,"","Action"
"1235","After the Sunset",2004,97,58000000,6,3431,"PG-13","Action"
"1243","Aftermath",2002,83,NA,4.7,51,"","Action"
"1244","Aftermath, The",1982,81,NA,3.7,61,"","Action"
"1249","Aftershock",1990,91,NA,3.5,52,"","Action"
"1253","Against All Flags",1952,83,NA,6.7,239,"","Action"
"1257","Against the Law",1997,81,NA,3.7,73,"","Action"
"1259","Against the Wind",1948,96,NA,6.4,68,"","Action"
"1275","Age to Age",1999,76,NA,5,11,"","Action"
"1281","Agent Cody Banks",2003,102,26000000,5.5,2655,"PG","Action"
"1282","Agent Cody Banks 2: Destination London",2004,100,26000000,3.8,919,"PG","Action"
"1284","Agent Sinikael",2002,78,NA,7.5,28,"","Action"
"1285","Agent for H.A.R.M.",1966,84,NA,2.4,279,"","Action"
"1286","Agent nr 1",1972,97,NA,3.1,5,"","Action"
"1287","Agent on Ice",1985,96,2500000,4.4,15,"","Action"
"1294","Agents secrets",2004,109,NA,5.5,479,"","Action"
"1299","Agi Murad il diavolo bianco",1959,91,NA,4.3,30,"","Action"
"1301","Agimat, anting-anting ni Lolo, Ang",2002,115,NA,5.3,7,"","Action"
"1305","Agneepath",1990,174,NA,8.4,162,"","Action"
"1309","Agni Nakshatram",1988,146,NA,7.8,40,"","Action"
"1351","Ai nu",1972,90,NA,7.5,127,"","Action"
"1360","Ai zuozhan",2004,96,NA,6.9,37,"","Action"
"1384","Air America",1990,115,NA,5.2,3793,"","Action"
"1388","Air Force",1943,124,NA,7.2,291,"","Action"
"1389","Air Force One",1997,124,85000000,6.3,26156,"R","Action"
"1393","Air Marshal",2003,90,500000,3,81,"R","Action"
"1395","Air Strike",1955,67,NA,6,7,"","Action"
"1399","Airbag",1997,112,NA,6.1,617,"","Action"
"1402","Airboss II: Preemptive Strike",1998,88,NA,1.8,14,"","Action"
"1403","Airboss III: The Payback",1999,92,NA,2.5,6,"","Action"
"1411","Airport '77",1977,114,NA,5.1,1440,"","Action"
"1412","Airport 1975",1974,107,3000000,4.9,1385,"","Action"
"1413","Airspeed",1998,93,NA,3,386,"PG","Action"
"1455","Akira",1988,124,NA,7.7,14840,"R","Action"
"1458","Ako-Jo danzetsu",1978,159,NA,5.6,8,"","Action"
"1470","Akwarium",1996,145,NA,5.1,12,"","Action"
"1479","Al filo de la ley",1992,90,NA,4.1,5,"","Action"
"1494","Aladdin and His Wonderful Lamp",1939,22,NA,7.4,69,"","Action"
"1504","Alamo, The",1960,192,12000000,6.6,2083,"","Action"
"1505","Alamo, The",2004,137,95000000,5.9,3060,"PG-13","Action"
"1513","Alas rotas",2002,95,NA,2.7,6,"","Action"
"1516","Alaska Patrol",1949,65,NA,5.8,7,"","Action"
"1521","Albatross",1996,104,NA,5.8,6,"","Action"
"1529","Albino",1976,97,NA,5,31,"","Action"
"1545","Aleksandr Nevskiy",1938,112,NA,7.8,1748,"","Action"
"1556","Alex l'ariete",2000,122,NA,2.4,95,"","Action"
"1582","Alfred the Great",1969,122,NA,5.6,242,"","Action"
"1598","Alias 'La Gringa'",1991,100,NA,6.3,20,"","Action"
"1612","Alibaba Aur 40 Chor",1980,153,NA,5.7,42,"","Action"
"1638","Alice in Wonderland",1949,96,NA,6.6,141,"","Action"
"1663","Alien Hunter",2003,92,NA,5,563,"R","Action"
"1677","Alien: Resurrection",1997,116,70000000,6,24358,"R","Action"
"1678","Alienator",1989,93,NA,2.8,119,"","Action"
"1679","Aliens",1986,154,18500000,8.3,63961,"R","Action"
"1682","Aliens in the Wild Wild West",1999,90,NA,2.9,58,"PG","Action"
"1684","Aliens: Ride at the Speed of Fright",1996,4,NA,4.6,13,"","Action"
"1693","Alive",1993,127,32000000,6.7,5786,"","Action"
"1695","Alive Tribe, The",1997,90,NA,5.2,5,"","Action"
"1707","All About the Benjamins",2002,95,14000000,5.4,1250,"R","Action"
"1748","All Quiet on the Western Front",1930,147,1200000,8.2,6835,"","Action"
"1759","All Through the Night",1942,107,750000,7,361,"","Action"
"1786","All the Queen's Men",2001,105,25000000,5,353,"PG-13","Action"
"1814","Alla ricerca dell'impero sepolto",1987,94,NA,4.1,11,"","Action"
"1818","Allan Quatermain and the Lost City of Gold",1987,99,NA,3.8,1777,"","Action"
"1822","Allegheny Uprising",1939,81,NA,6.2,207,"","Action"
"1827","Allegro s ognyom",1979,91,NA,8.2,5,"","Action"
"1842","Alley Cat",1982,82,NA,6.1,24,"","Action"
"1868","Alluri Seetharama Raju",1972,187,NA,6.3,6,"","Action"
"1903","Alone in the Dark",2005,96,20000000,2.1,2880,"R","Action"
"1920","Alpagueur, L'",1976,110,NA,6.1,246,"","Action"
"1938","Als es Nacht wurde in Deutschland",1999,8,NA,7.7,7,"","Action"
"1951","Alternate, The",2000,91,NA,2.9,189,"","Action"
"1959","Altrimenti ci arrabbiamo",1974,101,NA,6.2,557,"","Action"
"2013","Amar Akbar Anthony",1977,184,NA,7.4,182,"","Action"
"2053","Amazon Quest",1949,75,NA,4.3,10,"","Action"
"2054","Amazon Warrior",1998,83,NA,4.6,17,"","Action"
"2057","Amazones",2004,100,NA,5.5,28,"","Action"
"2060","Amazons",1986,76,NA,4.2,70,"","Action"
"2061","Amazons and Gladiators",2001,89,NA,4,233,"R","Action"
"2062","Amazzoni - donne d'amore e di guerra, Le",1973,100,NA,4.5,35,"","Action"
"2079","Ambushed",1998,109,NA,6,201,"","Action"
"2087","America 3000",1986,84,2000000,3.7,123,"","Action"
"2118","American Commandos",1985,88,NA,4.4,20,"","Action"
"2120","American Cyborg: Steel Warrior",1994,94,NA,3.3,167,"","Action"
"2125","American Dragons",1998,91,NA,4.3,173,"R","Action"
"2156","American Kickboxer",1991,92,NA,3.4,67,"","Action"
"2167","American Ninja 2: The Confrontation",1987,90,350000,3.7,641,"","Action"
"2168","American Ninja 3: Blood Hunt",1989,89,NA,2.4,474,"","Action"
"2169","American Ninja 4: The Annihilation",1991,99,NA,2.9,316,"","Action"
"2170","American Ninja V",1993,102,NA,2.4,259,"","Action"
"2172","American Outlaws",2001,94,35000000,5.5,2878,"PG-13","Action"
"2190","American Shaolin",1991,106,NA,4.4,129,"","Action"
"2196","American Strays",1996,97,NA,5.2,238,"R","Action"
"2203","American Tigers",1996,95,NA,3,18,"","Action"
"2211","American Yakuza",1993,96,NA,5.2,308,"","Action"
"2245","Amico del padrino, L'",1972,90,NA,6.9,10,"","Action"
"2361","Amsterdam Kill, The",1977,90,NA,4.9,61,"","Action"
"2362","Amsterdamned",1988,114,NA,6.3,1014,"","Action"
"2382","Anaconda",1997,89,45000000,4.1,10510,"","Action"
"2423","Anche gli angeli mangiano fagioli",1973,111,NA,5.5,142,"","Action"
"2434","Ancient Warriors",2001,93,NA,3.8,42,"R","Action"
"2468","Anderson Unbound",1999,17,NA,6.2,12,"","Action"
"2511","Angel",1984,94,NA,4.8,343,"","Action"
"2512","Angel 4: Undercover",1993,94,NA,3.2,67,"","Action"
"2521","Angel Hill: l'ultima missione",1988,80,NA,3.6,11,"","Action"
"2522","Angel III: The Final Chapter",1988,100,NA,4,79,"","Action"
"2527","Angel Town",1990,102,NA,4.2,90,"","Action"
"2528","Angel Unchained",1970,92,NA,4.7,39,"PG-13","Action"
"2530","Angel Wore Red, The",1960,99,NA,5.3,91,"","Action"
"2539","Angel of Destruction",1994,86,NA,3.8,45,"","Action"
"2540","Angel of Fury",1992,77,NA,3.2,38,"","Action"
"2541","Angel of H.E.A.T.",1982,93,NA,3.6,81,"","Action"
"2549","Angel's Dance",1999,101,NA,5.8,333,"R","Action"
"2558","Angelfist",1993,80,NA,3.7,73,"","Action"
"2573","Angels Die Hard",1970,86,NA,5.6,29,"","Action"
"2575","Angels Hard as They Come",1971,85,NA,4.8,33,"","Action"
"2578","Angels from Hell",1968,86,NA,3.5,16,"","Action"
"2583","Angels of the City",1990,89,NA,4.6,10,"","Action"
"2588","Angels' Brigade",1979,97,NA,2,285,"","Action"
"2589","Angels' Wild Women",1972,82,NA,2.3,32,"","Action"
"2594","Anges gardiens, Les",1995,110,NA,5.2,454,"","Action"
"2598","Angkor: Cambodia Express",1982,90,NA,6.1,13,"","Action"
"2633","Animal Room",1995,98,NA,5.4,70,"R","Action"
"2642","Animals",1999,90,NA,4.3,23,"","Action"
"2653","Animatrix: Final Flight of the Osiris, The",2003,11,5000000,7.6,1536,"PG-13","Action"
"2666","Anji",2004,148,NA,6.6,7,"","Action"
"2720","Anne of the Indies",1951,87,NA,6.5,64,"","Action"
"2724","Annibale",1960,103,NA,4.8,63,"","Action"
"2734","Annihilators, The",1985,84,NA,3,44,"","Action"
"2739","Anno 2020 - I gladiatori del futuro",1982,91,NA,3.9,68,"","Action"
"2751","Another 48 Hrs.",1990,93,NA,5.1,4569,"","Action"
"2775","Ansatsu",1964,104,NA,7.2,9,"","Action"
"2786","Antebios",1998,14,NA,7.3,25,"","Action"
"2789","Anthar l'invincibile",1964,114,NA,5,23,"","Action"
"2812","Antikiller",2002,114,5000000,5.4,231,"","Action"
"2813","Antikiller 2: Antiterror",2003,114,NA,5.5,33,"","Action"
"2924","Apocalypse Now",1979,202,31500000,8.5,64785,"R","Action"
"2925","Apocalypse domani",1980,91,NA,5.1,248,"","Action"
"2964","Apprentice",1999,90,NA,6.4,5,"","Action"
"2987","Apsolutnih sto",2001,93,NA,7.2,118,"","Action"
"2993","Aquanoids",2003,78,NA,2.2,46,"R","Action"
"3009","Arabian Nights",1942,86,NA,6.4,100,"","Action"
"3010","Araburu tamashii-tachi",2001,150,NA,5.7,132,"","Action"
"3014","Aragami",2003,70,NA,7,348,"","Action"
"3016","Arahan jangpung daejakjeon",2004,114,NA,6.7,333,"","Action"
"3049","Arctic Blue",1993,95,NA,4.8,208,"","Action"
"3075","Arena, The",1974,83,NA,4.8,121,"","Action"
"3076","Arena, The",2001,92,NA,2.8,119,"R","Action"
"3079","Argent content",2000,18,NA,5.5,31,"","Action"
"3111","Arizona Heat",1988,85,NA,3.8,37,"","Action"
"3129","Armageddon",1998,153,140000000,5.7,45330,"PG-13","Action"
"3135","Armchair Hacker, The",1985,114,NA,7.9,10,"","Action"
"3137","Armed Response",1986,86,1500000,4.2,70,"","Action"
"3139","Armed for Action",1992,88,NA,3.9,14,"","Action"
"3140","Armee Gretchen, Eine",1973,95,NA,5.6,26,"","Action"
"3145","Armstrong",1998,99,NA,3.2,75,"R","Action"
"3151","Army of Darkness",1993,96,11000000,7.4,22118,"R","Action"
"3162","Around the World in 80 Days",2004,120,110000000,5.7,3887,"PG","Action"
"3186","Arrival, The",1996,115,NA,6,4723,"PG-13","Action"
"3202","Art Heist",2004,98,NA,3.8,59,"R","Action"
"3276","Asambhav",2004,139,NA,4.7,23,"","Action"
"3310","Aslan Adam",1975,109,NA,6.1,29,"","Action"
"3314","Asoka",2001,169,NA,6.5,555,"R","Action"
"3318","Aspen Extreme",1993,113,NA,5.1,697,"","Action"
"3339","Assassination",1987,105,NA,4.4,322,"","Action"
"3340","Assassination Bureau, The",1969,110,NA,6.2,329,"","Action"
"3348","Assassins",1995,132,50000000,5.7,7354,"R","Action"
"3358","Assault on Precinct 13",1976,91,100000,7.3,4093,"","Action"
"3359","Assault on Precinct 13",2005,109,20000000,6.3,2960,"R","Action"
"3360","Assault on a Queen",1966,106,NA,5.4,129,"","Action"
"3361","Assault, The",1996,85,NA,3.4,48,"","Action"
"3370","Assignment K",1968,97,NA,4.7,19,"","Action"
"3448","Athaku Yamudu Ammayiki Mogudu",1989,140,NA,7.8,5,"","Action"
"3466","Atlantis: The Lost Empire",2001,95,90000000,6.4,6323,"PG","Action"
"3467","Atlas",1961,79,70000,4,26,"","Action"
"3477","Atomic Rulers",1964,101,NA,4.4,19,"","Action"
"3479","Atomic Submarine, The",1959,72,135000,3.9,94,"","Action"
"3492","Attack",1956,107,NA,7.7,510,"","Action"
"3494","Attack from Space",1964,76,NA,4,12,"","Action"
"3497","Attack of the 60 Foot Centerfold",1995,84,NA,3.5,175,"R","Action"
"3603","Aurora: Operation Intercept",1995,94,NA,2.7,80,"R","Action"
"3613","Austin Powers in Goldmember",2002,94,63000000,6.2,22870,"PG-13","Action"
"3614","Austin Powers: International Man of Mystery",1997,94,17000000,7,33755,"PG-13","Action"
"3615","Austin Powers: The Spy Who Shagged Me",1999,95,33000000,6.5,37019,"PG-13","Action"
"3630","Autobahnraser",2004,87,NA,3.8,255,"","Action"
"3640","Automatic",1994,90,NA,5,203,"","Action"
"3671","Avalanche",1946,70,NA,4.9,6,"","Action"
"3672","Avalanche",1978,91,NA,4,155,"","Action"
"3673","Avalanche",1999,109,NA,3.7,126,"PG-13","Action"
"3674","Avalanche Express",1979,88,NA,4.1,210,"","Action"
"3689","Avatar",2003,9,NA,6.7,6,"","Action"
"3690","Avatars",2001,5,20000,3.3,7,"","Action"
"3696","Avengers, The",1998,89,60000000,3.4,11499,"PG-13","Action"
"3697","Avenging Angel",1985,93,NA,3.7,184,"","Action"
"3698","Avenging Angelo",2002,96,NA,4.6,877,"R","Action"
"3700","Avenging Force",1986,104,NA,4.7,203,"","Action"
"3742","Avventure di Mary Read, Le",1961,87,NA,5.6,8,"","Action"
"3766","Ayam El-Sadat",2001,165,NA,7.2,42,"","Action"
"3775","Ayyam al-tawila, al-",1980,150,NA,6.1,7,"","Action"
"3782","Azumi",2003,142,NA,7,1347,"","Action"
"3784","B gai waak",1998,95,NA,6.6,69,"","Action"
"3798","BMX Bandits",1983,88,NA,4.5,458,"","Action"
"3802","Ba cai Lin Ya Zhen",1982,86,NA,4.4,19,"","Action"
"3805","Ba wong fa",1988,91,NA,5.6,48,"","Action"
"3808","Baadshah",1999,175,NA,5.9,83,"","Action"
"3811","Baau lit ying ging",1999,92,NA,5.9,110,"","Action"
"3813","Baazi",1995,183,NA,6.2,27,"","Action"
"3822","Baba",2002,179,NA,5.8,20,"","Action"
"3866","Baby Brown",1990,85,NA,3,12,"","Action"
"3882","Baby Face Nelson",1995,93,NA,4.7,60,"R","Action"
"3916","Baccanti, Le",1961,100,NA,3.6,7,"","Action"
"3964","Back in Business",1997,93,NA,4.1,93,"R","Action"
"3966","Back in Trouble",1997,95,NA,4,18,"","Action"
"3970","Back to Back",1990,95,NA,4,24,"","Action"
"3975","Back to God's Country",1953,78,NA,5.8,38,"","Action"
"3979","Back to the Future",1985,111,19000000,8.1,68647,"","Action"
"3989","Backdraft",1991,132,NA,6.6,12637,"R","Action"
"4001","Backroads",1977,60,NA,7.4,31,"","Action"
"4010","Backyard Dogs",2000,96,NA,1.9,1304,"R","Action"
"4027","Bad Boys",1995,118,23000000,6.4,15326,"R","Action"
"4028","Bad Boys II",2003,145,130000000,6.1,13087,"R","Action"
"4035","Bad Company",2002,116,70000000,5.4,6175,"PG-13","Action"
"4042","Bad Georgia Road",1977,86,NA,5.7,28,"","Action"
"4050","Bad Girls' Dormitory",1984,95,NA,2.6,42,"","Action"
"4072","Bad Moon",1996,80,7000000,4.4,519,"R","Action"
"4088","Badal",2000,166,NA,3.9,13,"","Action"
"4094","Badge, The",2002,103,6000000,6.3,740,"R","Action"
"4109","Bagong buwan",2001,130,NA,6.2,17,"","Action"
"4114","Bai fa mo nu zhuan",1993,92,NA,6.9,719,"","Action"
"4115","Bai fa mo nu zhuan II",1993,80,NA,5.8,191,"","Action"
"4116","Bai ga jai",1982,100,NA,7.7,278,"R","Action"
"4132","Bait",2000,119,35000000,5.6,1884,"R","Action"
"4139","Bajo la piel",1996,110,NA,7.7,74,"","Action"
"4167","Balance of Power",1996,92,NA,4.3,63,"R","Action"
"4168","Balance, La",1982,103,NA,6.7,173,"","Action"
"4220","Ballistic",1995,96,NA,4,50,"","Action"
"4221","Ballistic: Ecks vs. Sever",2002,91,70000000,3.4,4556,"R","Action"
"4232","Balls Deep",2004,89,NA,8.5,19,"","Action"
"4255","Ban wo chuang tian ya",1989,98,NA,6.8,73,"","Action"
"4264","Bancos",1999,12,NA,7.9,10,"","Action"
"4272","Band of the Hand",1986,109,8700000,4.9,378,"","Action"
"4281","Bandido",1956,92,NA,5.7,122,"","Action"
"4284","Bandidos",1991,95,NA,6.1,32,"","Action"
"4292","Bandit of Zhobe, The",1959,80,NA,4.2,15,"","Action"
"4311","Bang Boom Bang - Ein todsicheres Ding",1999,110,NA,7.2,1207,"","Action"
"4319","Bangkok Dangerous",1999,105,NA,6.5,651,"R","Action"
"4321","Bangrajan",2000,71,NA,6.6,283,"","Action"
"4337","Banlieue 13",2004,85,NA,5.7,196,"","Action"
"4345","Banzai Runner",1987,85,NA,4.8,22,"","Action"
"4347","Bao li xing jing",2000,88,NA,4.6,13,"","Action"
"4372","Barb Wire",1996,109,NA,3.2,5221,"","Action"
"4378","Barbarian Queen",1985,70,NA,3.5,185,"","Action"
"4379","Barbarian Queen II: The Empress Strikes Back",1989,79,NA,3.7,82,"","Action"
"4403","Barbouzes, Les",1964,108,NA,7,199,"","Action"
"4413","Bare Knuckles",1977,90,NA,5.2,17,"","Action"
"4550","Batalla de los Tres Reyes, La",1990,139,NA,7.6,12,"","Action"
"4557","Batman",1989,126,35000000,7.4,35927,"","Action"
"4558","Batman & Robin",1997,125,110000000,3.6,28457,"PG-13","Action"
"4559","Batman Forever",1995,122,100000000,5.4,24025,"PG-13","Action"
"4560","Batman Returns",1992,126,80000000,6.5,23010,"","Action"
"4561","Batman and Robin",1949,263,NA,5.8,119,"","Action"
"4562","Batman, The",1943,260,NA,6.4,84,"","Action"
"4563","Batman: Dead End",2003,8,30000,7.3,805,"","Action"
"4564","Batman: Mask of the Phantasm",1993,76,NA,6.9,2419,"","Action"
"4566","Batoru rowaiaru",2000,122,4500000,7.9,12138,"","Action"
"4567","Batoru rowaiaru II: Rekuiemu",2003,155,9000000,4.8,2117,"","Action"
"4576","Battaglia di El Alamein, La",1969,96,NA,4.9,70,"","Action"
"4580","Battellieri del Volga, I",1958,102,NA,4.2,8,"","Action"
"4596","Battle at Elderbush Gulch, The",1913,29,NA,7.1,59,"","Action"
"4597","Battle for the Planet of the Apes",1973,96,1800000,4.9,2335,"","Action"
"4598","Battle of Britain",1969,151,12000000,6.7,1728,"","Action"
"4607","Battle of the Bulge",1965,212,NA,6.5,1423,"","Action"
"4609","Battle of the Coral Sea",1959,86,NA,6.5,36,"","Action"
"4610","Battle of the River Plate, The",1956,106,NA,6.6,380,"","Action"
"4615","Battle, The",1911,19,NA,5.7,26,"","Action"
"4618","BattleQueen 2020",2001,95,NA,2.9,116,"R","Action"
"4619","Battlefield Earth: A Saga of the Year 3000",2000,119,73000000,2.4,14970,"PG-13","Action"
"4620","Battleground",1949,118,NA,7.5,849,"","Action"
"4621","Battles of Chief Pontiac",1952,72,NA,5.2,24,"","Action"
"4625","Batwara",1989,201,NA,6.5,9,"","Action"
"4713","Beast Must Die, The",1974,93,NA,5.5,245,"","Action"
"4731","Beastmaster 2: Through the Portal of Time",1991,107,6000000,3.1,564,"","Action"
"4732","Beastmaster, The",1982,90,NA,5.4,2506,"","Action"
"4755","Beau Geste",1926,101,NA,8.9,43,"","Action"
"4756","Beau Geste",1939,112,NA,7.6,741,"","Action"
"4757","Beau Geste",1966,103,NA,5.6,109,"","Action"
"4772","Beautiful Boxer",2003,118,NA,8,267,"","Action"
"4816","Beccerra",2002,30,3000,7.1,14,"","Action"
"4818","Beck - Sista vittnet",2002,101,NA,6.2,301,"","Action"
"4908","Beheaded 1000",1993,124,NA,5.6,16,"","Action"
"4911","Behind Enemy Lines",1986,90,NA,4.3,67,"","Action"
"4912","Behind Enemy Lines",1996,89,NA,4.3,149,"","Action"
"4913","Behind Enemy Lines",2001,106,40000000,6.1,10856,"PG-13","Action"
"5054","Belly of the Beast",2003,91,18000000,4.2,638,"R","Action"
"5059","Beloe solntse pustyni",1970,85,NA,8.3,290,"","Action"
"5071","Below the Belt",1971,84,NA,3,11,"","Action"
"5081","Belva col mitra, La",1977,91,NA,6,76,"","Action"
"5082","Belva dalle calda pelle, La",1982,94,NA,3.8,50,"","Action"
"5099","Ben-Hur",1959,214,15000000,8.1,21031,"","Action"
"5106","Beneath Loch Ness",2001,96,NA,2.7,233,"PG-13","Action"
"5108","Beneath the Planet of the Apes",1970,95,3000000,5.8,3568,"","Action"
"5133","Beowulf",1999,99,20000000,3.7,2058,"R","Action"
"5219","Best Men",1997,90,NA,5.6,787,"","Action"
"5236","Best of the Best",1989,97,NA,5.3,1168,"","Action"
"5237","Best of the Best 2",1993,101,NA,4.4,548,"","Action"
"5238","Best of the Best 3: No Turning Back",1995,90,NA,4.4,255,"R","Action"
"5239","Best of the Best: Without Warning",1999,90,NA,4.3,96,"R","Action"
